CAT	STEM	SYMBOL	FILE
4_PLAIN_IN_SOURCE	ctrrfs	ctrrfs	src/lapack/computational/ctrrfs.c
4_PLAIN_IN_SOURCE	ctzrzf	ctzrzf	src/lapack/computational/ctzrzf.c
4_PLAIN_IN_SOURCE	cung2l	cung2l	src/lapack/computational/cung2l.c
4_PLAIN_IN_SOURCE	cungbr	cungbr	src/lapack/computational/cungbr.c
4_PLAIN_IN_SOURCE	cunghr	cunghr	src/lapack/computational/cunghr.c
4_PLAIN_IN_SOURCE	cungl2	cungl2	src/lapack/computational/cungl2.c
4_PLAIN_IN_SOURCE	cunglq	cunglq	src/lapack/computational/cunglq.c
4_PLAIN_IN_SOURCE	cungql	cungql	src/lapack/computational/cungql.c
4_PLAIN_IN_SOURCE	cungr2	cungr2	src/lapack/computational/cungr2.c
4_PLAIN_IN_SOURCE	cungrq	cungrq	src/lapack/computational/cungrq.c
4_PLAIN_IN_SOURCE	cungtr	cungtr	src/lapack/computational/cungtr.c
4_PLAIN_IN_SOURCE	cunmlq	cunmlq	src/lapack/computational/cunmlq.c
4_PLAIN_IN_SOURCE	cunmql	cunmql	src/lapack/computational/cunmql.c
4_PLAIN_IN_SOURCE	cunmr3	cunmr3	src/lapack/computational/cunmr3.c
4_PLAIN_IN_SOURCE	cunmrq	cunmrq	src/lapack/computational/cunmrq.c
4_PLAIN_IN_SOURCE	cunmrz	cunmrz	src/lapack/computational/cunmrz.c
4_PLAIN_IN_SOURCE	dbdsdc	dbdsdc	src/lapack/computational/dbdsdc.c
4_PLAIN_IN_SOURCE	dgbcon	dgbcon_	src/lapack/drivers/condition_estimation_ref.c
4_PLAIN_IN_SOURCE	dgbequ	dgbequ	src/lapack/computational/dgbequ.c
4_PLAIN_IN_SOURCE	dgbmvx	dgbmvx	src/lapack/auxiliary/dgbmvx_stub.c
4_PLAIN_IN_SOURCE	dgbrfs	dgbrfs_	src/lapack/drivers/iterative_refinement_ref.c
4_PLAIN_IN_SOURCE	dgbsv	dgbsv_	src/lapack/drivers/banded_linear_drivers_ref.c
4_PLAIN_IN_SOURCE	dgbsvx	dgbsvx_	src/lapack/drivers/gbsvx_ref.c
4_PLAIN_IN_SOURCE	dgbtrf	dgbtrf_	src/lapack/drivers/gbtrf_ref.c
4_PLAIN_IN_SOURCE	dgbtrs	dgbtrs_	src/lapack/drivers/gbtrf_ref.c
4_PLAIN_IN_SOURCE	dgebak	dgebak	src/lapack/computational/dgebak.c
4_PLAIN_IN_SOURCE	dgebal	dgebal	src/lapack/computational/dgebal.c
4_PLAIN_IN_SOURCE	dgebd2	dgebd2	src/lapack/computational/dgebd2.c
4_PLAIN_IN_SOURCE	dgecon	dgecon_	src/lapack/computational/dgecon.c
4_PLAIN_IN_SOURCE	dgeesx	dgeesx	src/lapack/computational/dgeesx.c
4_PLAIN_IN_SOURCE	dgeevx	dgeevx	src/lapack/computational/dgeevx.c
4_PLAIN_IN_SOURCE	dgehd2	dgehd2	src/lapack/computational/dgehd2.c
4_PLAIN_IN_SOURCE	dgelq2	dgelq2	src/lapack/computational/dgelq2.c
4_PLAIN_IN_SOURCE	dgels	dgels	src/lapack/auxiliary/dgels.c
4_PLAIN_IN_SOURCE	dgelsd	dgelsd	src/lapack/drivers/missing_stubs.c
4_PLAIN_IN_SOURCE	dgelsy	dgelsy	src/lapack/auxiliary/dgelsy.c
4_PLAIN_IN_SOURCE	dgeql2	dgeql2	src/lapack/computational/dgeql2.c
4_PLAIN_IN_SOURCE	dgeqlf	dgeqlf	src/lapack/computational/dgeqlf.c
4_PLAIN_IN_SOURCE	dgerfs	dgerfs_	src/lapack/drivers/gerfs_ref.c
4_PLAIN_IN_SOURCE	dgerq2	dgerq2	src/lapack/computational/dgerq2.c
4_PLAIN_IN_SOURCE	dgesvx	dgesvx_	src/lapack/drivers/gesv_ref.c
4_PLAIN_IN_SOURCE	dgges	dgges	src/lapack/drivers/missing_stubs.c
4_PLAIN_IN_SOURCE	dggesx	dggesx_	src/lapack/computational/dggesx.c
4_PLAIN_IN_SOURCE	dggev	dggev_	src/lapack/computational/dggev.c
4_PLAIN_IN_SOURCE	dggevx	dggevx_	src/lapack/computational/dggevx.c
4_PLAIN_IN_SOURCE	dggglm	dggglm	src/lapack/drivers/missing_stubs.c
4_PLAIN_IN_SOURCE	dgghrd	dgghrd	src/lapack/computational/dgghrd.c
4_PLAIN_IN_SOURCE	dgglse	dgglse	src/lapack/drivers/missing_stubs.c
