"Archetype","OpId"
"SOLVE_ENTRY","FB_OP_DGELS"
"SOLVE_ENTRY","FB_OP_CGELS"
"SOLVE_ENTRY","FB_OP_ZGELS"
"SOLVE_ENTRY","FB_OP_SGELSD"
"SOLVE_ENTRY","FB_OP_DGELSD"
"SOLVE_ENTRY","FB_OP_CGELSD"
"SOLVE_ENTRY","FB_OP_ZGELSD"
"SOLVE_ENTRY","FB_OP_SGELSS"
"SOLVE_ENTRY","FB_OP_DGELSS"
"SOLVE_ENTRY","FB_OP_CGELSS"
"SOLVE_ENTRY","FB_OP_ZGELSS"
"SOLVE_ENTRY","FB_OP_SGELSY"
"SOLVE_ENTRY","FB_OP_DGELSY"
"SOLVE_ENTRY","FB_OP_CGELSY"
"SOLVE_ENTRY","FB_OP_ZGELSY"
"SPECTRAL_ENTRY","FB_OP_SSYEV"
"SPECTRAL_ENTRY","FB_OP_DSYEV"
"SPECTRAL_ENTRY","FB_OP_CHEEV"
"SPECTRAL_ENTRY","FB_OP_ZHEEV"
"SPECTRAL_ENTRY","FB_OP_SSYEVD"
"SPECTRAL_ENTRY","FB_OP_DSYEVD"
"SPECTRAL_ENTRY","FB_OP_CHEEVD"
"SPECTRAL_ENTRY","FB_OP_ZHEEVD"
"SPECTRAL_ENTRY","FB_OP_SGESVD"
"SPECTRAL_ENTRY","FB_OP_DGESVD"
"SPECTRAL_ENTRY","FB_OP_CGESVD"
"SPECTRAL_ENTRY","FB_OP_ZGESVD"
"SPECTRAL_ENTRY","FB_OP_SGEEV"
"SPECTRAL_ENTRY","FB_OP_DGEEV"
"SPECTRAL_ENTRY","FB_OP_CGEEV"
"SPECTRAL_ENTRY","FB_OP_ZGEEV"
"SPECTRAL_ENTRY","FB_OP_SGESDD"
"SPECTRAL_ENTRY","FB_OP_SSYGV"
"SPECTRAL_ENTRY","FB_OP_DSYGV"
"SPECTRAL_ENTRY","FB_OP_DGESDD"
"SPECTRAL_ENTRY","FB_OP_CGESDD"
"SPECTRAL_ENTRY","FB_OP_ZGESDD"
"SPECTRAL_ENTRY","FB_OP_CHEGV"
"SPECTRAL_ENTRY","FB_OP_ZHEGV"
